Data;Ano;produto;regiao;preco_medio_revenda;ipca_var;numero_indice;indice_final;preco_real
2013-01-01;2013;GASOLINA COMUM;SUDESTE;2,732;0,86;1,00860000000000;3546,11296614493;9605,37440363667156
2013-02-01;2013;GASOLINA COMUM;SUDESTE;2,846;0,60;1,01465160000000;3546,11296614493;9946,50528481743822
2013-03-01;2013;GASOLINA COMUM;SUDESTE;2,849;0,47;1,01942046252000;3546,11296614493;9910,41107373170416
2013-04-01;2013;GASOLINA COMUM;SUDESTE;2,846;0,55;1,02502727506386;3546,11296614493;9845,82337188999736
2013-05-01;2013;GASOLINA COMUM;SUDESTE;2,834;0,37;1,02881987598160;3546,11296614493;9768,16679058259069
2013-06-01;2013;GASOLINA COMUM;SUDESTE;2,817;0,26;1,03149480765915;3546,11296614493;9684,39215733910532
2013-07-01;2013;GASOLINA COMUM;SUDESTE;2,803;0,03;1,03180425610145;3546,11296614493;9633,37240113784537
2013-08-01;2013;GASOLINA COMUM;SUDESTE;2,795;0,24;1,03428058631609;3546,11296614493;9582,87902867590674
2013-09-01;2013;GASOLINA COMUM;SUDESTE;2,793;0,35;1,03790056836820;3546,11296614493;9542,62269074047981
2013-10-01;2013;GASOLINA COMUM;SUDESTE;2,796;0,57;1,04381660160789;3546,11296614493;9498,72979416907401
2013-11-01;2013;GASOLINA COMUM;SUDESTE;2,799;0,54;1,04945321125658;3546,11296614493;9457,84917876913823
2013-12-01;2013;GASOLINA COMUM;SUDESTE;2,900;0,92;1,05910818080014;3546,11296614493;9709,79904437251571
2014-01-01;2014;GASOLINA COMUM;SUDESTE;2,911;0,55;1,06493327579454;3546,11296614493;9693,31607817980330
2014-02-01;2014;GASOLINA COMUM;SUDESTE;2,911;0,69;1,07228131539752;3546,11296614493;9626,89053349866117
2014-03-01;2014;GASOLINA COMUM;SUDESTE;2,949;0,92;1,08214630349918;3546,11296614493;9663,65370684772279
2014-04-01;2014;GASOLINA COMUM;SUDESTE;2,955;0,67;1,08939668373262;3546,11296614493;9618,86883945217778
2014-05-01;2014;GASOLINA COMUM;SUDESTE;2,947;0,46;1,09440790847779;3546,11296614493;9548,90295499099193
2014-06-01;2014;GASOLINA COMUM;SUDESTE;2,933;0,40;1,09878554011170;3546,11296614493;9465,67728643910050
